Thaw Number,BD,RA1900,YPC #,YPC Lettter,Thaw Name,Note
1768,+22 4567,22 05 54.00 ,5365.00,,WB 82,removed an appended .0 value from BD Number
397,+50 3602,22 07 18.00 ,5370.00,A,Gr. 3703,
1009,+33 4456,22 08 24.00 ,5378.00,,Pi 22h29,removed an appended .0 value from BD Number
1554,+69 1228,22 08 24.00 ,5377.00,A,Grb 3719,removed an appended .0 value from BD Number
1206,+25 4691,22 08 36.00 ,5380.00,,Lal 43372,removed an appended .0 value from BD Number
852,+58 2402,22 08 06.00 ,5375.00,,Lambda Ceph,removed an appended .0 value from BD Number
1061,+38 4711,22 09 36.00 ,5386.00,A,Pi 22h36,removed an appended .0 value from BD Number
466,-0 4365,22 23 42.00 ,5435.00,B,Zeta1 Aquarii,Added BD Number
467,-0 4365,22 23 42.00 ,5435.00,A,Zeta2 Aquarii,Added BD Number
1597,-0 4384,22 30 12.00 ,5462.00,,Eta Aqar,removed an appended .0 value from BD Number and changed + to - on BD Number
1556,+67 1468,22 45 18.00,5530.00,A,Grb 3904p,"Added BD Number (p in Thaw name means primary, assumed to be A)"
1557,+67 1468,22 45 18.00,5530.00,B,Grb 3904f,"Added BD Number (f in Thaw name means fainter, assumed to be B)"
1559,+17 4866,23 01 18.00 ,5594.00,,Lal 45193,removed an appended .0 value from BD Number
591,+56 2966,23 08 30.00 ,5616.00,,Brad 3077,
2041,+38 4955,23 08 54.00 ,5617.00,,"Ci20, 1407",removed an appended .0 value from BD Number
49,+0 4998,23 22 00.00 ,5677.00,,Kappa Piscium,
1808,+57 2804,23 42 12.00 ,5756.10,,Tau Cas,removed an appended .0 value from BD Number
1111,-10 6203,23 51 18.00,5781.00,,Sigma 1036 Bt,Added BD Number
1112,-10 6203,23 51 18.00,5781.00,,Sigma 1036 Ft M-Lal 46916,Added BD Number
643,,,,,,Blank entry for Thaw Number 643
