Thaw Number,YPC Number,YPC Component,Thaw Name,YPC Name,BD Number,Thaw RA1900,Thaw Dec1900,YPC RA1900,YPC Dec1900,RA1950,Dec1950,RA2000,Dec2000,Thaw B,YPC (B-V),YPC V,Thaw Spectrum,YPC Spectrum,Thaw Rel. Parallax,Thaw Rel. Parallax Error,Delta Pi,Thaw Abs. Parallax,Yale Abs. Parallax,Yale Abs. Parallax Error,Yale Tot. PM,Yale PM Position Angle,No. of Thaw Observations,Thaw Footnotes,Index Card Match Entry,Index Card Field Name,Index Card Mag.,Index Card RA,Index Card Dec,Index Card Equinox,Observations
334,1193.0,A,Companion to Capella,Capella H,,05 10 00.00,+45 44 00.00,05 10 00.0,+45 44 00,05 13 40.790,+45 47 29.0871,05 17 22.7,+45 50 00,10.5,10.16,1.5,,M2   d,710,8,,,76,3.6,0.43,169,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1193.0,B,,Capella L,,,,05 10 00.0,+45 44 00,05 13 40.790,+45 47 29.0871,05 17 21.9,+45 50 42,,13.7,--,,M4:,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,1444.0,,Eta Geminorum,ETA Gem,+22 1241,06 09 00.00,+22 32 00.00,06 08 50.4,+22 32 09,06 11 51.762,+22 31 23.7276,06 14 52.7,+22 30 24,Var.,3.28,1.6,Ma,M3   III,16,8,,,15,8.0,0.058,257,40,,542,eta_Gemini(var),"8.8<1"".2",06 11 51.00,+22 31 24.0,1950,"['38761 k 19271025 _', '39208 g 19280307 _', '40082 g 19281010 _', '40107 2g 19281012 _', '40138 ~ 19281021 _', '40146 f 19281026 _', '40526 g 19290309 _', '40537 g 19290310 _', '40569 g 19290312 _', '41464 k 19291018 _', '41509 k 19291106 _', '41534 k 19291109 _', '41549 g 19291110 _', '41769 g 19300221 _', '42714 g 19301022 _', '43329 g 19310215 _', '43392 g 19310226 _', '44805 k 19311010 _', '44859 g 19311019 _', '44903 g 19311021 _', '47690 g 19330223 _', '52916 g 19351014 _', '56156 g 19380216 _', '59052 g 19391015 _', '61033 g 19410210 _', '61068 g 19410212 _', '62477 k 19411007 _', '64038 p 19421116 _', '64281 g 19430228 _', '65818 k 19431011 _', '65866 g 19431021 _', '73303 g 19480305 _', '73338 g 19480310 _', '74177 g 19481027 _', '76129 4g 19491020 _', '76299 4g 19491124 _', '76662 g 19500211 _', '76697 g 19500227 _', '78102 g 19501017 _', '78234 p 19501031 _']"
336,1498.0,,Lalande 12293,,+36 1442,06 22 00.00,+36 33 00.00,06 22 02.7,+36 32 51,06 25 25.613,+36 31 07.3553,06 28 46.0,+36 28 48,7.1,7.12,0.62,G0,G0   d,32,7,,,34,11.1,0.363,234,25,,570,Porter_385,7.1,06 25 24.00,+36 30 57.0,1950,"['54535 p 19361106 _', '54588 k 19361112 _', '54618 k 19361117 _', '54905 g 19370307 _', '55779 g 19371031 _', '55857 g 19371110 _', '57767 p 19390314 _', '64019 g 19421115 _', '64253 g 19430222 _', '67922 p 19441019 _', '68450 p 19450314 _', '69740 2k 19451101 _', '73304 g 19480305 _', '73362 g 19480313 _', '74280 k 19481111 _', '76130 g 19491020 _', '76621 f 19500204 fog', '76683 g 19500225 _', '76722 p 19500304 _', '76757 g 19500306 _', '83995 2k 19540306 _', '85063 g 19541024 _', '85083 g 19541025 _', '87449 g 19560229 _', '92304 f 19590310 fog']"
337,1724.0,A,19 Lyncis (fainter),19 Lyn,,07 15 00.00,+55 28 00.00,07 14 42.5,+55 28 11,07 18 47.741,+55 22 41.524,07 22 52.0,+55 16 52,6.5,5.45,--,A,B8   V,-4,7,,,10,7.8,0.031,184,35,,659,Sigma_1062,5.3,07 18 46.00,+55 22 51.0,1950,"['12497 k 19180325 _', '12531 g 19180327 _', '12561 2g,1k 19180328 _', '14485 k 19181021 _', '14502 f 19181023 _', '14541 f 19181027 _', '14588 k 19181102 _', '15967 k 19190227 _', '16001 k 19190301 _', '18860 k 19191113 _', '18951 k 19191117 _', '19649 g 19200302 _', '19841 k 19200324 _', '22433 k 19201113 _', '22451 k 19201118 _', '23165 g 19210227 _', '25868 p 19211106 _', '25876 g 19211107 _', '25937 g 19211121 _', '26708 g 19220305 _', '26752 g 19220308 _', '28922 g 19221027 _', '28946 k 19221028 _', '28962 k 19221030 _', '29680 k 19230308 _', '29713 g 19230310 _', '29791 g 19230317 _', '33846 k 19241030 _', '33783 k 19241104 _', '34408 g 19250322 _', '35575 g 19251101 _', '35624 k 19251104 _', '35675 k 19251114 _', '36126 g 19260311 _', '36157 g 19260321 _']"
,1724.0,B,,19 Lyn,,,,07 14 41.2,+55 28 22,07 18 46.455,+55 22 52.613,07 22 50.8,+55 17 04,,6.53,--,,B9   V,,,,,,,0.026,170,35,,659,Sigma_1062,5.3,07 18 46.00,+55 22 51.0,1950,"['12497 k 19180325 _', '12531 g 19180327 _', '12561 2g,1k 19180328 _', '14485 k 19181021 _', '14502 f 19181023 _', '14541 f 19181027 _', '14588 k 19181102 _', '15967 k 19190227 _', '16001 k 19190301 _', '18860 k 19191113 _', '18951 k 19191117 _', '19649 g 19200302 _', '19841 k 19200324 _', '22433 k 19201113 _', '22451 k 19201118 _', '23165 g 19210227 _', '25868 p 19211106 _', '25876 g 19211107 _', '25937 g 19211121 _', '26708 g 19220305 _', '26752 g 19220308 _', '28922 g 19221027 _', '28946 k 19221028 _', '28962 k 19221030 _', '29680 k 19230308 _', '29713 g 19230310 _', '29791 g 19230317 _', '33846 k 19241030 _', '33783 k 19241104 _', '34408 g 19250322 _', '35575 g 19251101 _', '35624 k 19251104 _', '35675 k 19251114 _', '36126 g 19260311 _', '36157 g 19260321 _']"
338,1724.0,A,19 Lyncis (brighter),19 Lyn,,07 15 00.00,+55 28 00.00,07 14 42.5,+55 28 11,07 18 47.741,+55 22 41.524,07 22 52.0,+55 16 52,5.6,5.45,--,B8,B8   V,7,8,,,10,7.8,0.031,184,35,,659,Sigma_1062,5.3,07 18 46.00,+55 22 51.0,1950,"['12497 k 19180325 _', '12531 g 19180327 _', '12561 2g,1k 19180328 _', '14485 k 19181021 _', '14502 f 19181023 _', '14541 f 19181027 _', '14588 k 19181102 _', '15967 k 19190227 _', '16001 k 19190301 _', '18860 k 19191113 _', '18951 k 19191117 _', '19649 g 19200302 _', '19841 k 19200324 _', '22433 k 19201113 _', '22451 k 19201118 _', '23165 g 19210227 _', '25868 p 19211106 _', '25876 g 19211107 _', '25937 g 19211121 _', '26708 g 19220305 _', '26752 g 19220308 _', '28922 g 19221027 _', '28946 k 19221028 _', '28962 k 19221030 _', '29680 k 19230308 _', '29713 g 19230310 _', '29791 g 19230317 _', '33846 k 19241030 _', '33783 k 19241104 _', '34408 g 19250322 _', '35575 g 19251101 _', '35624 k 19251104 _', '35675 k 19251114 _', '36126 g 19260311 _', '36157 g 19260321 _']"
,1724.0,B,,19 Lyn,,,,07 14 41.2,+55 28 22,07 18 46.455,+55 22 52.613,07 22 50.8,+55 17 04,,6.53,--,,B9   V,,,,,,,0.026,170,35,,659,Sigma_1062,5.3,07 18 46.00,+55 22 51.0,1950,"['12497 k 19180325 _', '12531 g 19180327 _', '12561 2g,1k 19180328 _', '14485 k 19181021 _', '14502 f 19181023 _', '14541 f 19181027 _', '14588 k 19181102 _', '15967 k 19190227 _', '16001 k 19190301 _', '18860 k 19191113 _', '18951 k 19191117 _', '19649 g 19200302 _', '19841 k 19200324 _', '22433 k 19201113 _', '22451 k 19201118 _', '23165 g 19210227 _', '25868 p 19211106 _', '25876 g 19211107 _', '25937 g 19211121 _', '26708 g 19220305 _', '26752 g 19220308 _', '28922 g 19221027 _', '28946 k 19221028 _', '28962 k 19221030 _', '29680 k 19230308 _', '29713 g 19230310 _', '29791 g 19230317 _', '33846 k 19241030 _', '33783 k 19241104 _', '34408 g 19250322 _', '35575 g 19251101 _', '35624 k 19251104 _', '35675 k 19251114 _', '36126 g 19260311 _', '36157 g 19260321 _']"
,,,Mean,,+55 1192,,,,,0,0,,,,--,--,,--,1,5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,2299.0,M,Omicron Leonis,OMI Leo,+36 2044,09 36 00.00,+10 21 00.00,09 35 48.8,+10 20 50,09 38 29.511,+10 07 16.0703,09 41 09.0,+09 53 32,3.8,3.52,0.49,F5,"F6+  II,A*",24,8,,,31,10.2,0.149,254,1,,870,omicron_Leonis,3.8,09 38 29.00,+10 07 14.0,1950,['102546 ~ 19690313 _']
,2299.0,A,,OMI Leo,,,,09 35 48.8,+10 20 50,09 38 29.511,+10 07 16.0703,09 41 09.0,+09 53 32,,3.52,0.49,,*,,,,,31,10.2,0.149,254,1,,870,omicron_Leonis,3.8,09 38 29.00,+10 07 14.0,1950,['102546 ~ 19690313 _']
340,2572.0,,60 Leonia,60 Leo,+20 2547,10 57 00.00,+20 43 00.00,10 56 59.4,+20 42 58,10 59 39.741,20 26 51.6608,11 02 19.7,+20 10 47,4.4,4.42,0.05,A,A1m,7,8,,,14,12.5,0.038,351,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,2836.0,,Piazzi 40,,+17 2462,12 14 00.00,+17 06 00.00,12 14 03.2,+17 06 28,12 16 35.506,+16 49 47.8275,12 19 06.4,+16 32 54,7,7.07,0.62,G5,G2   V,19,8,,,22,12.5,0.241,230,28,,1083,Porter_703,7.5,12 16 35.00,+16 49 40.0,1950,"['879 ~ 19141216 pi_br', '40790 g 19290521 _', '40802 g 19290522 _', '41658 g 19300105 _', '43826 g 19310511 _', '43832 k 19310514 _', '45438 k 19320201 _', '48068 g 19330517 _', '49720 k 19340218 _', '50234 k 19340507 _', '53672 g 19360516 _', '54785 p 19370106 _', '57913 p 19390511 _', '57918 g 19390513 _', '70027 g 19460217 _', '70517 g 19460519 _', '72082 2g 19470511 _', '74586 g 19490227 _', '74792 2k 19490407 _', '76487 f 19500111 _', '76670 g 19500212 _', '77022 p 19500507 _', '77096 f 19500518 _', '77113 ~ 19500520 _', '80445 k 19520227 _', '80771 g 19520521 _', '85565 g 19550312 _', '86011 4g 19550518 _']"
342,3002.0,,Lalande 24414,G 060-067,+6 2697,13 04 00.00,+5 46 00.00,13 03 46.7,+05 45 34,13 06 18.526,05 29 31.6904,13 08 51.0,+05 12 25,6.7,6.8,0.67,G0,G5   IV,35,9,,,44,10.5,0.685,173,2,,1177,Porter_749,7,13 06 19.00,+05 28 58.0,1950,"['48041 ~ 19330506 _', '70437 ~ 19460429 _']"
343,3832.0,M,Sigma 2106,,+9 3287,16 46 00.00,+9 35 00.00,16 46 21.1,+09 34 40,16 48 44.101,+09 29 28.3496,16 51 07.3,+09 24 15,6.8,6.66,0.49,F8,"F6+G0IV,I*",-4,9,,,0,13.9,0.121,178,41,,1577,Sigma_2106,6.7,16 48 44,+09 29 22,1950,"['46413 k 19320730 _', '47810 k 19330327 _', '50152 k 19340430 _', '50705 k 19340717 _', '51952 k 19350429 _', '52421 w 19350726 _', '56452 g 19380427 _', '56529 p 19380505 _', '58254 p 19390710 _', '58379 p 19390727 _', '59604 k 19400406 _', '60031 g 19400730 _', '61237 g 19410322 _', '61352 k 19410408 _', '61504 g 19410428 _', '63084 g 19420320 _', '63113 g 19420324 _', '63128 k 19420325 _', '63479 k 19420714 _', '64504 g 19430406 _', '65042 k 19430720 _', '65100 g 19430730 _', '66771 k 19440407 _', '66818 g 19440420 _', '67222 k 19440710 _', '68463 g 19450315 _', '68525 g 19450323 _', '69128 g 19450712 cracked', '70275 2f,p 19460331 _', '70871 k 19460719 _', '71949 k 19470328 _', '71995 k 19470415 _', '73393 g 19480320 _', '73794 p 19480706 _', '74730 g 19490330 _', '77382 ~ 19500630 WR*', '77416 g 19500706 _', '77438 p 19500707 _', '77502 f 19500712 _', '77508 g 19500714 _', '77539 g 19500718 _']"
,3832.0,A,,,,,,16 46 21.1,+09 34 40,16 48 44.101,+09 29 28.3496,16 51 07.3,+09 24 15,,7.0,--,,F6   IV,,,,,0,13.9,0.121,178,41,,1577,Sigma_2106,6.7,16 48 44,+09 29 22,1950,"['46413 k 19320730 _', '47810 k 19330327 _', '50152 k 19340430 _', '50705 k 19340717 _', '51952 k 19350429 _', '52421 w 19350726 _', '56452 g 19380427 _', '56529 p 19380505 _', '58254 p 19390710 _', '58379 p 19390727 _', '59604 k 19400406 _', '60031 g 19400730 _', '61237 g 19410322 _', '61352 k 19410408 _', '61504 g 19410428 _', '63084 g 19420320 _', '63113 g 19420324 _', '63128 k 19420325 _', '63479 k 19420714 _', '64504 g 19430406 _', '65042 k 19430720 _', '65100 g 19430730 _', '66771 k 19440407 _', '66818 g 19440420 _', '67222 k 19440710 _', '68463 g 19450315 _', '68525 g 19450323 _', '69128 g 19450712 cracked', '70275 2f,p 19460331 _', '70871 k 19460719 _', '71949 k 19470328 _', '71995 k 19470415 _', '73393 g 19480320 _', '73794 p 19480706 _', '74730 g 19490330 _', '77382 ~ 19500630 WR*', '77416 g 19500706 _', '77438 p 19500707 _', '77502 f 19500712 _', '77508 g 19500714 _', '77539 g 19500718 _']"
344,3886.0,A,Sigma 2128,SIG 2128A,+59 1783,17 02 00.00,+59 43 00.00,17 01 57.0,+59 42 59,17 02 39.992,+59 38 49.331,17 03 18.4,+59 35 07,9.1,8.65,1.04,K0,K4   V,39,8,,,45,7.9,0.446,304,35,,1607,Sigma_2128,"8.0/9.2<12""",17 02 _,+59 41 _,1950,"['12665 2f 19180404 _', '12774 p 19180423 do_not_measure', '13629 k 19180717 _', '13814 f 19180802 _', '13832 k 19180805 _', '16230 k 19190320 _', '16378 f 19190328 _', '16476 k 19190406 _', '17527 p 19190723 _', '17614 k 19190727 _', '17716 g 19190807 _', '19865 k 19200324 _', '19909 k 19200329 _', '19919 k 19200330 _', '20959 k 19200715 _', '21002 g 19200717 _', '21078 p 19200724 _', '23360 f 19210318 _', '23449 k 19210329 _', '23513 g 19210402 _', '24713 g 19210722 _', '24719 g 19210723 _', '24739 k 19210726 _', '26867 k 19220316 _', '26947 k 19220401 _', '26969 g 19220404 _', '27937 k 19220719 _', '27944 k 19220720 _', '27970 k 19220725 _', '32517 k 19240415 _', '32540 k 19240420 _', '32547 g 19240422 _', '33071 g 19240720 _', '33112 k 19240725 _', '33145 g 19240728 _']"
,3886.0,B,,SIG 2128B,,,,17 01 58.3,+59 43 06,17 02 41.281,59 38 56.4224,17 03 19.6,+59 35 16,,10.31,1.4,,M0   V,,,,,,,0.459,305,35,,1607,Sigma_2128,"8.0/9.2<12""",17 02 _,+59 41 _,1950,"['12665 2f 19180404 _', '12774 p 19180423 do_not_measure', '13629 k 19180717 _', '13814 f 19180802 _', '13832 k 19180805 _', '16230 k 19190320 _', '16378 f 19190328 _', '16476 k 19190406 _', '17527 p 19190723 _', '17614 k 19190727 _', '17716 g 19190807 _', '19865 k 19200324 _', '19909 k 19200329 _', '19919 k 19200330 _', '20959 k 19200715 _', '21002 g 19200717 _', '21078 p 19200724 _', '23360 f 19210318 _', '23449 k 19210329 _', '23513 g 19210402 _', '24713 g 19210722 _', '24719 g 19210723 _', '24739 k 19210726 _', '26867 k 19220316 _', '26947 k 19220401 _', '26969 g 19220404 _', '27937 k 19220719 _', '27944 k 19220720 _', '27970 k 19220725 _', '32517 k 19240415 _', '32540 k 19240420 _', '32547 g 19240422 _', '33071 g 19240720 _', '33112 k 19240725 _', '33145 g 19240728 _']"
345,4127.0,M,Weisse 1805,G 182-035,+26 3151,17 58 00.00,+26 20 00.00,17 58 26.6,+26 19 42,18 00 27.200,+26 19 39.5995,18 02 30.8,+26 18 46,7.1,6.99,0.8,K0,K0   V,35,11,,,53,6.2,0.715,148,17,,1732,#Hough_564,7,18 00 29,+26 19 11,1950,"['10037 k 19170804 +13', '10087 k 19170812 +3', '10092 k 19170816 -9', '12865 k 19180505 _', '12936 k 19180514 _', '12962 k 19180515 _', '13859 k 19180806 _', '13966 k 19180817 _', '16702 f 19190505 _', '17667 k 19190801 _', '17747 k 19190810 _', '20031 k 19200418 _', '20085 k 19200425 _', '20176 k 19200504 _', '21216 k 19200805 _', '21232 g 19200813 _', '21255 g 19200820 _']"
346,4171.0,,Lalande 33439,Lal 33439,+38 3095,18 06 00.00,+38 27 00.00,18 06 18.7,+38 27 04,18 07 59.322,+38 27 35.2813,18 09 37.3,+38 27 28,6.4,6.4,0.87,G,K2   V,95,6,,,90,3.7,0.557,216,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,4336.0,,111 Herculis,111 Her,+18 3823,18 43 00.00,+18 04 00.00,18 42 36.2,+18 04 12,18 44 48.427,+18 07 22.0162,18 47 01.2,+18 10 53,4.4,4.36,0.13,A3,A5   III,51,9,,,31,6.6,0.136,32,43,,1845,111_Herculis,4.4,18 44 48,+18 07 27,1950,"['74016 f 19480831 _', '77358 k 19500626 _', '77623 f 19500805 _', '77853 ~ 19500903 _', '78986 g 19510516 _', '79042 g 19510531 _', '79081 k 19510612 _', '79258 p 19510708 _', '79346 g 19510725 _', '79700 k 19510916 _', '80828 g 19520528 _', '80856 g 19520531 _', '80977 k 19520618 _', '81295 k 19520818 _', '81571 f 19520915 _', '82448-9 w 19530611 _', '84853 k 19540912 _', '85977-8 p 19550506 _', '86128-9 g 19550617 _', '96274-5 p 19550711 _', '86323-4 k 19550716 _', '86417-8 k 19550725 _', '88336 4g 19460824 _', '89485 g 19570508 _', '89496-7 k 19570509 _', '89536-7 f 19570531 _', '90634-5 p 19580530 _', '90782-3 k 19580809 _', '91577 f,k 19590506 _', '91614-5 g 19590608 _', '91650-1 k 19590628 _', '92551-2 k,f 19600601 _', '92563-4 g 19600602 _', '93606-7 k 19610524 _', '96479-0 k 19630717 _', '96616-7 g 19630818 _', '96723-4 k 19630915 _', '97613-4 k 19640516 _', '97869-0 k 19640823 _', '100916-7 k 19670607 _', '107835 f 19740613 _', '108237 w 19760428 _', '108380 ~ 19760818 _']"
348,4541.0,,31 b Aquilae,31 Aql,+11 3833,19 20 00.00,+11 44 00.00,19 20 12.0,+11 43 49,19 22 32.603,+11 49 37.4892,19 24 58.2,+11 56 39,5.2,5.16,0.77,G5,G8   IVHd*,55,11,,,63,4.0,0.966,49,38,,1946,31_Aquilae,5.3,19 22 35,+11 50 09,1950,"['44525 k 19310906 _', '46111 g 19320615 _', '46690 g 19320905 _', '46755 k 19320917 _', '46814 k 19320929 _', '48143 k 19330601 _', '48180 k 19330604 _', '48897 g 19330918 _', '49041 k 19331005 _', '49058 g 19331006 _', '50327 k 19340521 _', '50350 k 19340526 _', '51014 g 19340908 _', '51136 k 19340924 _', '51143 p 19340927 _', '51170 g 19341002 _', '52080 2k 19350525 _', '52114 k 19350527 _', '52129 k 19350601 _', '52153 p 19350608 _', '52652 k 19350906 _', '52699 ~ 19350915 _', '52704 g 19350916 _', '52712 k 19350920 _', '55222 p 19370612 _', '56596 g 19380527 _', '56610 2k 19380528 _', '56633 k 19380601 _', '56669 g 19380606 _', '56660 2p 19380604 _', '57130 g 19380913 _', '57164 g 19380925 _', '57969 p 19390524 _', '58062 g 19390606 _', '58102 f 19390615 _', '58771 p 19390908 _', '58799 k 19390911 _', '58890 g 19390922 _']"
349,4579.0,,38 Mu Aquilae,MU Aql,+7 4132,19 29 00.00,+7 10 00.00,19 29 12.2,+07 09 59,19 31 38.053,+07 16 24.3105,19 34 05.4,+07 22 44,4.6,4.45,1.17,K,K3-  IIIb*,16,8,,,30,1.8,0.264,126,27,,1969,mu_Aquilae,4.6,19 31 38,+07 16 16,1950,"['10654 f 19170928 _', '10680 f 19171001 _', '10751 k 19171008 _', '13061 k 19180525 _', '16776 f 19190517 _', '17035 k 19190605 _', '18080 k 19190908 _', '18093 k 19190910 _', '18134 k 19190913 _', '20288 k 19200516 _', '21764 g 19200926 _', '21903 g 19201008 _', '23858 g 19210517 _', '23968 k 19210525 _', '25560 k 19211013 _', '25584 g 19211014 _', '27344 g 19220522 _', '27369 k 19220523 _', '27373 k 19220524 _', '28387 k 19220915 _', '28404 k 19220916 _', '30265 g 19230518 _', '30324 g 19230525 _', '30503 k 19230611 _', '31127 g 19230923 _', '31277 g 19231009 _', '31298 g 19231011 _']"
350,4581.0,,Groombridge 2875,Groom 2875,+58 1929,19 29 00.00,+58 23 00.00,19 29 28.3,+58 22 59,19 30 21.453,+58 29 22.2763,19 31 08.0,+58 35 09,6.7,6.59,0.87,K0,K2-  V,25,6,,,49,5.0,0.648,233,1,,1964,Maan_423,6.4,19 30 18,+58 29 03,1950,['75509 f 19490819 _']
351,4585.0,,Lalande 37120,Lal 37120,+32 3474,19 30 00.00,+32 59 00.00,19 29 43.5,+32 58 44,19 31 37.073,+33 05 10.3309,19 33 27.0,+33 12 07,6.6,6.61,0.59,G0,G0   V,27,10,,,31,3.6,0.52,297,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,4654.0,A,17 Cygni,SIG 2580A,+33 3587,19 43 00.00,+33 30 00.00,19 42 37.7,+33 29 41,19 44 31.494,+33 36 58.776,19 46 25.5,+33 43 39,5,4.99,0.47,F5,F7   V,30,7,,,45,2.8,0.444,179,96,,2013,17_Cygni,5,19 44 32,+33 36 37,1950,"['7118 g 19161001 -10', '7142 g 19161002 -8', '7175 k 19161003 +13', '9549 k 19170615 -28', '16818 k 19190524 _', '17959 g 19190902 _', '18081 f 19190908 _', '20323 k 19200522 _', '20599 k 19200613 _', '21655 k 19200919 _', '22031 g 19201013 _', '23898 k 19210519 _', '23933 g 19210521 _', '25309 g 19210919 _', '25588 g 19211014 _', '27346 g 19220522 _', '28721 g 19221018 _', '30326 p 19230525 _', '30352 k 19230527 _', '30365 p 19230528 _', '30506 k 19230611 _', '30533 g 19230616 _', '31129 g 19230923 _', '31139 g 19230924 _', '31216 4k 19231004 _', '32748 k 19240530 _', '32760 k 19240602 _', '33473 g 19241001 _', '33515 g 19241003 _', '50892 ~ 19340821 _', '51315 ~ 19341015 _', '52957 g 19351018 _', '54131 ~ 19361008 _', '56950 g 19380802 _', '56981 4g 19380812 _', '58206 k 19390702 _', '58485 ~ 19390809 _', '58486 g 19390809 _', '58507 g 19390810 _', '60124 g 19400807 _', '60603 g 19401016 _', '60608 g 19401018 _', '62013 g 19410723 _', '62055 g 19410731 _', '62492 k 19411008 _', '62502 g 19411012 _', '62549 g 19411022 _', '63429 k 19420706 _', '63447 g 19420708 _', '63575 k 19420824 _', '64789 g 19430613 _', '64802 k 19430618 _', '65259 g 19430814 _', '65833 g 19431020 _', '67071 g 19440616 _', '67137 g 19440626 _', '67154 k 19440827 _', '67437 g 19440822 _', '67451 ~ 19440824 _', '67707 g 19440922 _', '67756 g 19441006 _', '67863 g 19441017 _', '69224 g 19450808 _', '69271 k 19450815 _', '69287 g 19450825 _', '69476 p 19451011 _', '69559 g 19451017 _', '70608 w 19460531 _', '70708 ~ 19460625 _', '70751 ~ 19460701 _', '70763 ~ 19460702 _', '71041 ~ 19460829 _', '71329 ~ 19461003 _', '71373 ~ 19461015 _', '71385 ~ 19461019 _', '72309 ~ 19470623 _', '72433 ~ 19470728 _', '72696 ~ 19471002 _', '72713 ~ 19471004 _', '72868 ~ 19471020 _', '73653 p 19480601 _', '73746 ~ 19480725 _', '73858 ~ 19480731 _', '73972 ~ 19480814 _', '75233 ~ 19490704 _', '75339 ~ 19490726 _', '75356 p 19490727 _', '75981 g 19491010 _', '76094 ~ 19491019 _', '77166 g 19500602 _', '77188 g 19500606 _', '77213 ~ 19500607 _', '77254 ~ 19500609 _', '77293 k 19500613 _', '81803 g 19521018 _', '88287-8 g 19560816 _']"
,4654.0,B,,SIG 2580B,,,,19 42 39.6,+33 29 49,19 44 33.393,+33 37 06.9006,19 46 27.4,+33 43 48,,8.56,1.04,,K6   d,,,,,,,0.443,178,96,,2013,17_Cygni,5,19 44 32,+33 36 37,1950,"['7118 g 19161001 -10', '7142 g 19161002 -8', '7175 k 19161003 +13', '9549 k 19170615 -28', '16818 k 19190524 _', '17959 g 19190902 _', '18081 f 19190908 _', '20323 k 19200522 _', '20599 k 19200613 _', '21655 k 19200919 _', '22031 g 19201013 _', '23898 k 19210519 _', '23933 g 19210521 _', '25309 g 19210919 _', '25588 g 19211014 _', '27346 g 19220522 _', '28721 g 19221018 _', '30326 p 19230525 _', '30352 k 19230527 _', '30365 p 19230528 _', '30506 k 19230611 _', '30533 g 19230616 _', '31129 g 19230923 _', '31139 g 19230924 _', '31216 4k 19231004 _', '32748 k 19240530 _', '32760 k 19240602 _', '33473 g 19241001 _', '33515 g 19241003 _', '50892 ~ 19340821 _', '51315 ~ 19341015 _', '52957 g 19351018 _', '54131 ~ 19361008 _', '56950 g 19380802 _', '56981 4g 19380812 _', '58206 k 19390702 _', '58485 ~ 19390809 _', '58486 g 19390809 _', '58507 g 19390810 _', '60124 g 19400807 _', '60603 g 19401016 _', '60608 g 19401018 _', '62013 g 19410723 _', '62055 g 19410731 _', '62492 k 19411008 _', '62502 g 19411012 _', '62549 g 19411022 _', '63429 k 19420706 _', '63447 g 19420708 _', '63575 k 19420824 _', '64789 g 19430613 _', '64802 k 19430618 _', '65259 g 19430814 _', '65833 g 19431020 _', '67071 g 19440616 _', '67137 g 19440626 _', '67154 k 19440827 _', '67437 g 19440822 _', '67451 ~ 19440824 _', '67707 g 19440922 _', '67756 g 19441006 _', '67863 g 19441017 _', '69224 g 19450808 _', '69271 k 19450815 _', '69287 g 19450825 _', '69476 p 19451011 _', '69559 g 19451017 _', '70608 w 19460531 _', '70708 ~ 19460625 _', '70751 ~ 19460701 _', '70763 ~ 19460702 _', '71041 ~ 19460829 _', '71329 ~ 19461003 _', '71373 ~ 19461015 _', '71385 ~ 19461019 _', '72309 ~ 19470623 _', '72433 ~ 19470728 _', '72696 ~ 19471002 _', '72713 ~ 19471004 _', '72868 ~ 19471020 _', '73653 p 19480601 _', '73746 ~ 19480725 _', '73858 ~ 19480731 _', '73972 ~ 19480814 _', '75233 ~ 19490704 _', '75339 ~ 19490726 _', '75356 p 19490727 _', '75981 g 19491010 _', '76094 ~ 19491019 _', '77166 g 19500602 _', '77188 g 19500606 _', '77213 ~ 19500607 _', '77254 ~ 19500609 _', '77293 k 19500613 _', '81803 g 19521018 _', '88287-8 g 19560816 _']"
353,4762.0,,Lalande 38383,Lal 38383,+22 3908,20 00 00.00,+23 05 00.00,19 59 41.4,+23 05 01,20 01 50.367,+23 13 25.1119,20 03 52.1,+23 20 27,7.2,7.24,0.82,K2,K2   V,38,7,,,62,1.2,1.353,229,30,,2066,5Y2_4762,7.3,20 01 46,+23 12 39,1950,"['10640 k 19170926 _', '10715 k 19171002 _', '13315 k 19180618 _', '20648 k 19200618 _', '20669 f 19200619 _', '21967 g 19201010 _', '22104 k 19201016 _', '27538 g 19220611 _', '28597 g 19220929 _', '30610 g 19230620 _', '31365 g 19231017 _', '31385 g 19231020 _', '32824 g 19240613 _', '32858 g 19240618 _', '33539 g 19241006 _', '33588 g 19241014 _', '34916 k 19250617 _', '34934 g 19250620 _', '35510 g 19251013 _', '35533 g 19251023 _', '36603 g 19260617 _', '36616 f 19260620 _', '37101 g 19261004 _', '37176 g 19261015 _', '37913 g 19270605 _', '37921 p 19270606 _', '37951 g 19270612 _', '38548 g 19270927 _', '38569 g 19270930 _', '38626 g 19271005 _']"
